Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2022-11-10,359.1567453866192,361.6639694322985,2.7755575615628914e-17,-4.260119625818041e-17,1.9932949559457543e-15,26525.32712869925,26525.32712869925
2022-11-11,361.3586690811637,362.2132715367457,2.7755575615628914e-17,-3.799247767797136e-17,1.955302478267783e-15,26525.32712869925,26525.32712869925
2022-11-14,363.7517929888315,362.88361768780163,0.10000000000000003,7.025716621979559,7.02571662197956,23872.794415829325,26515.028830393923
2022-11-15,365.3956090994352,363.4011391046863,0.20000000000000004,6.88416909615486,13.90988571813442,21244.28199419635,26520.135074844875
2022-11-16,367.2479312064897,364.02415423400623,0.30000000000000004,7.1387798996742635,21.048665617808684,18548.24708908589,26470.850360093278
2022-11-17,368.46748194796817,364.50926825493065,0.4,7.334206368018066,28.38287198582675,15822.526363937064,26472.994658961426
2022-11-18,369.37085740178077,364.9301909842103,0.5,6.706088083313507,35.088960069140256,13283.774521611871,26510.43851503734
2022-11-21,370.3809556466475,365.40142248436996,0.6,7.183171735321963,42.27213180446222,10585.605936764361,26462.002346578123
2022-11-22,371.0736226606883,365.80042388702026,0.7,6.946379471950131,49.21851127641235,7963.224890095461,26697.271583650345
2022-11-23,372.3478191640028,366.38197967323697,0.7999999999999999,6.907892208752351,56.1264034851647,5336.174704851966,26834.195598217186
2022-11-25,373.771930742917,367.0347905098104,0.8999999999999999,6.944146328884031,63.07054981404873,2680.2675014345837,26832.69070296908
2022-11-28,374.994734996726,367.65864039752313,0.9999999999999999,7.055951892261561,70.1265017063103,2.7284841053187847e-12,26425.93348335545
2022-11-29,375.2397485206,368.01839318294503,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,26380.548573636035
2022-11-30,375.36580207071796,368.33865816190735,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,27211.552327055997
2022-12-01,377.055057432643,369.11107224517207,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,27191.52963571188
2022-12-02,378.48100908485316,369.84199862082096,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,27160.155901733164
2022-12-05,379.65718215739355,370.5267166015302,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,26671.564567335045
2022-12-06,379.7475607994286,370.9113560278489,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,26287.097220181156
2022-12-07,379.09489123450476,371.06591222528624,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,26242.380018852014
2022-12-08,378.4442223055812,371.1894009328271,0.9999999999999999,0.0,70.1265017063103,2.7284841053187847e-12,26447.957159779387
